user id, text, retweet, favorite, hashtag, create time
1008251486,!!! 원룸이사&amp;용달이사 잘하는곳 1566-4124 원룸포장이사 오피스텔이사 소형이사 학생이사 용달화물 https://t.co/Dc2rKaV2Ri 대전대덕유성대구달서달성수성광주광산울산울주 원룸이사&amp;용달이사 원룸포장이,0,0,0,Sep Mon 16 18:24:32 +0000 2019,
1008251486,!!! 원룸이사&amp;용달이사 잘하는곳 1566-4124 원룸포장이사 오피스텔이사 소형이사 학생이사 용달화물 https://t.co/Dc2rKaV2Ri  인천 강화 계양 남동 부평 연수 옹진 원룸이사&amp;용달이사 원룸포장이,0,0,0,Nov Thu 28 17:24:33 +0000 2019,
1008251486,!!!원룸이사&amp;용달이사 잘하는곳 1566-4124 원룸포장이사 오피스텔이사 소형이사 학생이사 용달화물 https://t.co/Dc2rKaV2Ri 강원강릉고성동해삼척속초양구양양영월원주인제정선철원춘천태백평창화천홍천횡성 원룸이사,0,0,0,Nov Sun 03 12:54:31 +0000 2019,
1008251486,!!원룸이사&amp;용달이사 잘하는곳 1566-4124 원룸포장이사 오피스텔이사 소형이사 학생이사 용달화물 https://t.co/Dc2rKaV2Ri 부산 강서 금정 기장군 동래 부산진 사상 사하 수영 연제 영도 해운대 원룸이사,0,0,0,Sep Thu 05 11:54:31 +0000 2019,
1008251486,!원룸이사&amp;용달이사 1566-4124 원룸포장이사 오피스텔이사 소형/학생이사 용달화물 https://t.co/Dc2rKaV2Ri  고양군포과천광명광주구리김포남양주동두천부천성남수원시흥안산안성안양양평여주오산용인의왕의정,0,0,0,Aug Thu 15 10:54:31 +0000 2019,
1008251486,!!! 원룸이사&amp;용달이사 잘하는곳 1566-4124 원룸포장이사 오피스텔이사 소형이사 학생이사 용달화물 https://t.co/Dc2rKaV2Ri  강남강동강북강서관악광진구로금천노원도봉동대문동작마포서대문서초성동성북송,0,0,0,Nov Sat 23 10:24:35 +0000 2019,
1008251486,!!원룸이사&amp;용달이사 잘하는곳 1566-4124 원룸포장이사 오피스텔이사 소형이사 학생이사 용달화물 https://t.co/Dc2rKaV2Ri 괴산단양보은영동옥천음성제천증평진천청원청주충주 원룸이사&amp;용달이사 원룸포장이,0,0,0,Aug Sat 31 09:54:31 +0000 2019,
1008251486,!!!원룸이사&amp;용달이사 잘하는곳 1566-4124 원룸포장이사 오피스텔이사 소형이사 학생이사 용달화물 https://t.co/Dc2rKaV2Ri 계룡공주금산논산당진보령부여서산서천아산연기예산천안청양태안홍성 원룸이사&amp;,0,0,0,Aug Mon 26 09:24:36 +0000 2019,
1008251486,!!! 원룸이사&amp;용달이사 잘하는곳 1566-4124 원룸포장이사 오피스텔이사 소형이사 학생이사 용달화물 https://t.co/Dc2rKaV2Ri 고창군산김제남원무주부안순창완주익산임실장수전주정읍진안제주서귀포원룸이사&amp;,0,0,0,Sep Mon 30 02:54:31 +0000 2019,
1008251486,!!!원룸이사&amp;용달이사 잘하는곳 1566-4124 원룸포장이사 오피스텔이사 소형이사 학생이사 용달화물 https://t.co/Dc2rKaV2Ri 강진고흥곡성광양구례나주담양목포무안보성순천신안여수영광영암완도장성장흥진도함평해남,0,0,0,Sep Mon 23 02:24:35 +0000 2019,
